編號,產業,產業相關性,每日優先觀察
1,AI ASIC,★★★★★,先辨識CSP專案：Google看AVGO＋創意/聯發科；AWS看MRVL＋世芯；Meta看AVGO＋創意；Microsoft看MRVL＋創意；再看台積電與封測
2,SoC／Connectivity,★★★★★,聯發科手機線看QCOM；AI/網通線看AVGO/MRVL
3,NAND／AI SSD,★★★★★,MU/Kioxia/SIMO
4,NOR Flash,★★★★★,GigaDevice＋華邦
5,Memory OSAT,★★★★★,MU/Kioxia/Hana Micron
6,DDIC／COF封測,★★★★★,南茂需再疊Memory線
7,AI晶片測試,★★★★★,NVDA/AVGO
8,Probe Card／測試介面,★★★★★,FORM/TPRO最直接
9,半導體矽晶圓,★★★★★,SUMCO/信越/Siltronic
10,ABF載板,★★★★★,Ibiden/SEMCO
11,玻纖布,★★★★★,日東紡＋台玻
12,HVLP銅箔,★★★★★,三井金屬/古河
13,CCL,★★★★★,台燿/聯茂＋上游材料
14,AI PCB,★★★★★,TTMI/WUS/ISU
15,被動元件／MLCC,★★★★★,Murata/SEMCO
16,AI Server,★★★★★,NVDA＋SMCI/DELL
17,AI散熱／液冷,★★★★★,VRT/ETN＋奇鋐/雙鴻
18,矽光子／CPO,★★★★★,先判斷行情層級：①InP缺料/漲價→聯亞、IET、環宇；②光模組升級→華星光、聯鈞、眾達；③CPO→上詮、波若威、訊芯、台積電。海外先看COHR/LITE，再看AVGO與中際旭創/新易盛
19,光學鏡頭－手機,★★★★★,舜宇＋玉晶光＋大立光
20,光學鏡頭－CPO/AI光學,★★★★,先進光要雙軌追蹤
21,機器人／Physical AI,★★★★★,Doosan/FANUC＋NVDA
22,AI機櫃IC－電源／高速網通,★★★★,矽力先看MPWR/TXN；達發先看AVGO/MRVL，兩者不要混成同一套模型
23,記憶體模組,★★★★,先分本業與記憶體題材
24,貨櫃／航運電子關聯,★★★,非電子股；主檔僅保留來源註記，正式歸航運檔
25,電源／AI機櫃,★★★★,材料需求與產品組合
26,電子製造／零組件,★★★★,看AI電源與光電產品組合
27,電子材料／零組件,★★★,訂單與設備資本支出
28,電子零組件／連接器,★★★★★,AI Server滑軌需求
29,電子零組件／連接器,★★★,偏資訊服務，與硬體供應鏈分開看
30,電子零組件,★★★★,工業電腦景氣＋Edge AI
31,AI Server機構件／金屬機殼,★★★★,先看NVDA與AI Server機構件族群；再確認Vera Rubin相關訂單/產品組合
32,AI Server電源／連接器,★★★★,先看AI Server電源族群與訂單能見度；再看光寶科/台達電/貿聯是否共振
33,矽電容／Silicon Capacitor,★★★★★,優先看愛普量產放量；再看力積電/聯電/華邦電代工與客戶導入
34,大電流連接器／AI電源,★★★★,看AI機櫃功率升級、BBU出貨與大電流連接器需求
35,半導體材料分析／檢測,★★★★,看先進製程、矽光子與材料分析訂單
36,AI伺服器主板／系統,★★★★,看AI伺服器主板與系統開發業務成長
37,InP光通訊代工,★★★★,看InP後段製程代工、新產能與光通訊客戶導入
38,光纖／光通訊,★★★★,看光纖產能擴增、訂單能見度與AI資料中心需求
39,電子零組件／連接器,★★★,圖卡短線名單；依各自本業分開追蹤
